AnimalName,Symptom,Count,TotalSymptoms,Percentage
Birds,Abdominal destention,1,185,0.005405405405405406
Birds,Abnormalities,1,185,0.005405405405405406
Birds,Anaemia,1,185,0.005405405405405406
Birds,Anorexia,1,185,0.005405405405405406
Birds,Apathy,1,185,0.005405405405405406
Birds,Ataxia,2,185,0.010810810810810811
Birds,Balance problem,1,185,0.005405405405405406
Birds,Beak overgrowth,1,185,0.005405405405405406
Birds,Blindness,1,185,0.005405405405405406
Birds,Bloody in feather,1,185,0.005405405405405406
Birds,Bony lesion,1,185,0.005405405405405406
Birds,Chest pain,2,185,0.010810810810810811
Birds,Chills,1,185,0.005405405405405406
Birds,Cloacal pasting,1,185,0.005405405405405406
Birds,Clubbed feather,1,185,0.005405405405405406
Birds,Congestion,1,185,0.005405405405405406
Birds,Coughing,6,185,0.032432432432432434
Birds,Death,1,185,0.005405405405405406
Birds,Defienciency in vitamin,1,185,0.005405405405405406
Birds,Dehydration,2,185,0.010810810810810811
Birds,Dejection,1,185,0.005405405405405406
Birds,Depression,4,185,0.021621621621621623
Birds,Diarrhea,7,185,0.03783783783783784
Birds,Difficultty in breathing,1,185,0.005405405405405406
Birds,Difficulty in breathing,2,185,0.010810810810810811
Birds,Difficulty in feeding,1,185,0.005405405405405406
Birds,Difficulty in swallowing,1,185,0.005405405405405406
Birds,Dilation of duodenum,1,185,0.005405405405405406
Birds,Diphtherictic,1,185,0.005405405405405406
Birds,Discharge from eyes,1,185,0.005405405405405406
Birds,Dry scabs,1,185,0.005405405405405406
Birds,Ear infection,1,185,0.005405405405405406
Birds,Emaciation,2,185,0.010810810810810811
Birds,Enlarged thymus,1,185,0.005405405405405406
Birds,Exercise in tolerance,1,185,0.005405405405405406
Birds,Exhaustion,1,185,0.005405405405405406
Birds,Eye closed,2,185,0.010810810810810811
Birds,Eye disharge,1,185,0.005405405405405406
Birds,Fatique,1,185,0.005405405405405406
Birds,Feather loss,1,185,0.005405405405405406
Birds,Feather plucking,1,185,0.005405405405405406
Birds,Fever,5,185,0.02702702702702703
Birds,Fluffed feather,1,185,0.005405405405405406
Birds,Forthy eye,1,185,0.005405405405405406
Birds,Green dropping,1,185,0.005405405405405406
Birds,Half-closed eye,1,185,0.005405405405405406
Birds,Headache,1,185,0.005405405405405406
Birds,Heavy breathing,1,185,0.005405405405405406
Birds,Inappetence,1,185,0.005405405405405406
Birds,Itching,1,185,0.005405405405405406
